area_name,area_code,date,new_cases,total_cases
Bromley,E09000006,2021-05-14,3,24475
Camden,E09000007,2021-05-14,4,14215
Croydon,E09000008,2021-05-14,11,31099
Ealing,E09000009,2021-05-14,15,31457
Enfield,E09000010,2021-05-14,7,29888
Greenwich,E09000011,2021-05-14,12,22547
Hackney and City of London,E09000012,2021-05-14,4,21774
Hammersmith and Fulham,E09000013,2021-05-14,4,13116
Haringey,E09000014,2021-05-14,12,20922
Harrow,E09000015,2021-05-14,15,21022
Havering,E09000016,2021-05-14,1,26958
Hillingdon,E09000017,2021-05-14,17,26842
Hounslow,E09000018,2021-05-14,19,25217
Islington,E09000019,2021-05-14,5,15093
Kensington and Chelsea,E09000020,2021-05-14,1,9133
Kingston upon Thames,E09000021,2021-05-14,14,12355
Lambeth,E09000022,2021-05-14,8,24382
Lewisham,E09000023,2021-05-14,5,21795
Merton,E09000024,2021-05-14,3,16336
Newham,E09000025,2021-05-14,9,35710
Redbridge,E09000026,2021-05-14,6,33053
Richmond upon Thames,E09000027,2021-05-14,2,10946
Southwark,E09000028,2021-05-14,3,22557
Sutton,E09000029,2021-05-14,2,16003
Tower Hamlets,E09000030,2021-05-14,8,29046
Waltham Forest,E09000031,2021-05-14,6,25023
Wandsworth,E09000032,2021-05-14,10,22358
Westminster,E09000033,2021-05-14,7,14393
Barking and Dagenham,E09000002,2021-05-15,2,23691
Barnet,E09000003,2021-05-15,2,30637
Bexley,E09000004,2021-05-15,2,22470
Brent,E09000005,2021-05-15,7,28829
Bromley,E09000006,2021-05-15,6,24481
Camden,E09000007,2021-05-15,3,14218
Croydon,E09000008,2021-05-15,11,31110
Ealing,E09000009,2021-05-15,12,31469
Enfield,E09000010,2021-05-15,11,29899
Greenwich,E09000011,2021-05-15,13,22560
Hackney and City of London,E09000012,2021-05-15,2,21776
Hammersmith and Fulham,E09000013,2021-05-15,6,13122
Haringey,E09000014,2021-05-15,5,20927
Harrow,E09000015,2021-05-15,11,21033
Havering,E09000016,2021-05-15,0,26958
Hillingdon,E09000017,2021-05-15,13,26855
Hounslow,E09000018,2021-05-15,13,25230
Islington,E09000019,2021-05-15,2,15095
